alpha,cs_lambda,validation_target_recall_min,validation_target_recall_macro,validation_normalized_atc,validation_balanced_accuracy,target_recall_min,normalized_atc,balanced_accuracy,critical_pair_error_count,status,metric_path
0.04,0.05,0.967741935483871,0.9919354838709677,0.0016129032258064516,0.9838709677419356,0.90625,0.0078125,0.971875,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p04_l0p05_lr5e5_s42_05-03_01-03/metrics_20260503_010344_nicme_v3_hybrid.json
0.04,0.2,0.967741935483871,0.9919354838709677,0.0016129032258064516,0.9838709677419356,0.9375,0.0059375,0.96875,1,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p04_l0p2_lr5e5_s42_05-03_01-23/metrics_20260503_012338_nicme_v3_hybrid.json
0.06,0.02,0.967741935483871,0.9919354838709677,0.0016129032258064516,0.9838709677419356,0.90625,0.0084375,0.971875,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p06_l0p02_lr5e5_s42_05-03_02-14/metrics_20260503_021416_nicme_v3_hybrid.json
0.2,0.02,0.967741935483871,0.9919354838709677,0.0016129032258064516,0.9838709677419356,0.90625,0.0084375,0.971875,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p2_l0p02_lr5e5_s42_05-03_05-46/metrics_20260503_054611_nicme_v3_hybrid.json
0.3,0.02,0.967741935483871,0.9919354838709677,0.001935483870967742,0.9806451612903226,0.875,0.0090625,0.965625,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p3_l0p02_lr5e5_s42_05-03_06-25/metrics_20260503_062533_nicme_v3_hybrid.json
0.3,0.03,0.967741935483871,0.9919354838709677,0.001935483870967742,0.9806451612903226,0.875,0.009375,0.9625,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p3_l0p03_lr5e5_s42_05-03_06-29/metrics_20260503_062945_nicme_v3_hybrid.json
0.07,0.07,0.967741935483871,0.9919354838709677,0.0025806451612903226,0.9741935483870968,0.90625,0.01,0.95625,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p07_l0p07_lr5e5_s42_05-03_03-15/metrics_20260503_031530_nicme_v3_hybrid.json
0.09,0.1,0.967741935483871,0.9919354838709677,0.0025806451612903226,0.9741935483870968,0.90625,0.009375,0.9625,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p09_l0p1_lr5e5_s42_05-03_04-48/metrics_20260503_044822_nicme_v3_hybrid.json
0.3,0.04,0.967741935483871,0.9919354838709677,0.0025806451612903226,0.9741935483870968,0.875,0.010312499999999999,0.953125,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p3_l0p04_lr5e5_s42_05-03_06-33/metrics_20260503_063352_nicme_v3_hybrid.json
0.3,0.05,0.967741935483871,0.9919354838709677,0.0025806451612903226,0.9741935483870968,0.90625,0.010312499999999999,0.953125,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p3_l0p05_lr5e5_s42_05-03_06-37/metrics_20260503_063759_nicme_v3_hybrid.json
0.3,0.07,0.967741935483871,0.9919354838709677,0.0032258064516129032,0.967741935483871,0.90625,0.013125000000000001,0.946875,3,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p3_l0p07_lr5e5_s42_05-03_06-41/metrics_20260503_064204_nicme_v3_hybrid.json
0.1,0.03,0.967741935483871,0.9838709677419355,0.003870967741935484,0.9903225806451612,0.90625,0.0075,0.98125,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p1_l0p03_lr5e5_s42_05-03_05-07/metrics_20260503_050710_nicme_v3_hybrid.json
0.05,0.03,0.967741935483871,0.9838709677419355,0.004193548387096775,0.9870967741935484,0.90625,0.010312499999999999,0.975,3,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p05_l0p03_lr5e5_s42_05-03_01-38/metrics_20260503_013815_nicme_v3_hybrid.json
0.05,0.09,0.967741935483871,0.9838709677419355,0.004193548387096775,0.9870967741935484,0.875,0.0078125,0.978125,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p05_l0p09_lr5e5_s42_05-03_01-56/metrics_20260503_015647_nicme_v3_hybrid.json
0.06,0.05,0.967741935483871,0.9838709677419355,0.004193548387096775,0.9870967741935484,0.90625,0.0075,0.98125,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p06_l0p05_lr5e5_s42_05-03_02-28/metrics_20260503_022857_nicme_v3_hybrid.json
0.3,0.1,0.967741935483871,0.9919354838709677,0.004193548387096775,0.9580645161290322,0.90625,0.0159375,0.940625,4,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p3_l0p1_lr5e5_s42_05-03_06-51/metrics_20260503_065134_nicme_v3_hybrid.json
0.05,0.07,0.967741935483871,0.9838709677419355,0.004838709677419355,0.9806451612903226,0.90625,0.0075,0.98125,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p05_l0p07_lr5e5_s42_05-03_01-51/metrics_20260503_015138_nicme_v3_hybrid.json
0.04,0.09,0.967741935483871,0.9838709677419355,0.004838709677419355,0.9741935483870968,0.90625,0.013125000000000001,0.9625,4,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p04_l0p09_lr5e5_s42_05-03_01-14/metrics_20260503_011429_nicme_v3_hybrid.json
0.4,0.02,0.967741935483871,0.9919354838709677,0.005161290322580645,0.9483870967741936,0.90625,0.0128125,0.928125,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p4_l0p02_lr5e5_s42_05-03_07-07/metrics_20260503_070754_nicme_v3_hybrid.json
0.05,0.02,0.967741935483871,0.9919354838709677,0.005483870967741935,0.9677419354838708,0.90625,0.0134375,0.959375,4,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p05_l0p02_lr5e5_s42_05-03_01-32/metrics_20260503_013307_nicme_v3_hybrid.json
0.4,0.3,0.9354838709677419,0.9838709677419355,0.000967741935483871,0.9903225806451612,0.875,0.008125,0.975,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p4_l0p3_lr5e5_s42_05-03_07-45/metrics_20260503_074602_nicme_v3_hybrid.json
0.2,0.2,0.9354838709677419,0.9838709677419355,0.001935483870967742,0.9806451612903226,0.90625,0.0109375,0.975,3,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p2_l0p2_lr5e5_s42_05-03_06-17/metrics_20260503_061729_nicme_v3_hybrid.json
0.2,0.3,0.9354838709677419,0.9838709677419355,0.001935483870967742,0.9806451612903226,0.90625,0.0109375,0.975,3,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p2_l0p3_lr5e5_s42_05-03_06-21/metrics_20260503_062121_nicme_v3_hybrid.json
0.04,0.1,0.9354838709677419,0.9838709677419355,0.002258064516129032,0.9774193548387096,0.90625,0.009375,0.9625,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p04_l0p1_lr5e5_s42_05-03_01-18/metrics_20260503_011840_nicme_v3_hybrid.json
0.4,0.04,0.9354838709677419,0.9838709677419355,0.002258064516129032,0.9774193548387096,0.90625,0.008749999999999999,0.96875,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p4_l0p04_lr5e5_s42_05-03_07-17/metrics_20260503_071725_nicme_v3_hybrid.json
0.4,0.05,0.9354838709677419,0.9838709677419355,0.002258064516129032,0.9774193548387096,0.90625,0.008125,0.975,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p4_l0p05_lr5e5_s42_05-03_07-21/metrics_20260503_072130_nicme_v3_hybrid.json
0.06,0.04,0.9354838709677419,0.9838709677419355,0.0025806451612903226,0.9741935483870968,0.90625,0.009375,0.9625,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p06_l0p04_lr5e5_s42_05-03_02-23/metrics_20260503_022343_nicme_v3_hybrid.json
0.5,0.09,0.9354838709677419,0.9838709677419355,0.0025806451612903226,0.9741935483870968,0.90625,0.0090625,0.965625,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p5_l0p09_lr5e5_s42_05-03_08-14/metrics_20260503_081419_nicme_v3_hybrid.json
0.5,0.1,0.9354838709677419,0.9838709677419355,0.0025806451612903226,0.9741935483870968,0.90625,0.0090625,0.965625,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p5_l0p1_lr5e5_s42_05-03_08-18/metrics_20260503_081824_nicme_v3_hybrid.json
0.05,0.3,0.9354838709677419,0.9838709677419355,0.002903225806451613,0.9709677419354839,0.90625,0.0096875,0.959375,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p05_l0p3_lr5e5_s42_05-03_02-08/metrics_20260503_020906_nicme_v3_hybrid.json
0.5,0.04,0.9354838709677419,0.9838709677419355,0.002903225806451613,0.9709677419354839,0.90625,0.0096875,0.959375,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p5_l0p04_lr5e5_s42_05-03_08-00/metrics_20260503_080023_nicme_v3_hybrid.json
0.5,0.05,0.9354838709677419,0.9838709677419355,0.002903225806451613,0.9709677419354839,0.90625,0.009375,0.9625,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p5_l0p05_lr5e5_s42_05-03_08-04/metrics_20260503_080428_nicme_v3_hybrid.json
0.05,0.1,0.9354838709677419,0.9838709677419355,0.0032258064516129032,0.967741935483871,0.90625,0.0096875,0.959375,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p05_l0p1_lr5e5_s42_05-03_02-00/metrics_20260503_020055_nicme_v3_hybrid.json
0.06,0.07,0.9354838709677419,0.9838709677419355,0.0032258064516129032,0.967741935483871,0.90625,0.01,0.95625,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p06_l0p07_lr5e5_s42_05-03_02-32/metrics_20260503_023304_nicme_v3_hybrid.json
0.06,0.3,0.9354838709677419,0.9838709677419355,0.0032258064516129032,0.967741935483871,0.90625,0.009375,0.9625,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p06_l0p3_lr5e5_s42_05-03_02-51/metrics_20260503_025139_nicme_v3_hybrid.json
0.07,0.3,0.9354838709677419,0.9838709677419355,0.0032258064516129032,0.967741935483871,0.90625,0.009375,0.9625,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p07_l0p3_lr5e5_s42_05-03_03-33/metrics_20260503_033407_nicme_v3_hybrid.json
0.09,0.3,0.9354838709677419,0.9838709677419355,0.0032258064516129032,0.967741935483871,0.90625,0.009375,0.9625,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p09_l0p3_lr5e5_s42_05-03_04-57/metrics_20260503_045750_nicme_v3_hybrid.json
0.07,0.02,0.9354838709677419,0.9838709677419355,0.0035483870967741938,0.964516129032258,0.90625,0.010624999999999999,0.95,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p07_l0p02_lr5e5_s42_05-03_02-55/metrics_20260503_025545_nicme_v3_hybrid.json
0.08,0.3,0.9354838709677419,0.9838709677419355,0.0035483870967741938,0.964516129032258,0.90625,0.009375,0.9625,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p08_l0p3_lr5e5_s42_05-03_04-13/metrics_20260503_041337_nicme_v3_hybrid.json
0.2,0.1,0.9354838709677419,0.9838709677419355,0.0035483870967741938,0.964516129032258,0.90625,0.013125000000000001,0.953125,3,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p2_l0p1_lr5e5_s42_05-03_06-13/metrics_20260503_061336_nicme_v3_hybrid.json
0.3,0.3,0.9354838709677419,0.9758064516129032,0.004193548387096775,0.9870967741935484,0.90625,0.0075,0.98125,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p3_l0p3_lr5e5_s42_05-03_07-02/metrics_20260503_070220_nicme_v3_hybrid.json
0.06,0.09,0.9354838709677419,0.9838709677419355,0.004193548387096775,0.9580645161290322,0.90625,0.010624999999999999,0.95,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p06_l0p09_lr5e5_s42_05-03_02-37/metrics_20260503_023714_nicme_v3_hybrid.json
0.07,0.03,0.9354838709677419,0.9838709677419355,0.004193548387096775,0.9580645161290322,0.90625,0.0109375,0.946875,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p07_l0p03_lr5e5_s42_05-03_02-59/metrics_20260503_025953_nicme_v3_hybrid.json
0.1,0.2,0.9354838709677419,0.9838709677419355,0.004193548387096775,0.9580645161290322,0.90625,0.010312499999999999,0.953125,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p1_l0p2_lr5e5_s42_05-03_05-35/metrics_20260503_053540_nicme_v3_hybrid.json
0.2,0.07,0.9354838709677419,0.9838709677419355,0.004193548387096775,0.9580645161290322,0.90625,0.0096875,0.959375,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p2_l0p07_lr5e5_s42_05-03_06-03/metrics_20260503_060400_nicme_v3_hybrid.json
0.4,0.1,0.9354838709677419,0.9758064516129032,0.004838709677419355,0.9806451612903226,0.90625,0.0078125,0.978125,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p4_l0p1_lr5e5_s42_05-03_07-35/metrics_20260503_073514_nicme_v3_hybrid.json
0.2,0.03,0.9354838709677419,0.9838709677419355,0.005161290322580645,0.9483870967741936,0.90625,0.010312499999999999,0.953125,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p2_l0p03_lr5e5_s42_05-03_05-50/metrics_20260503_055017_nicme_v3_hybrid.json
0.2,0.04,0.9354838709677419,0.9838709677419355,0.005161290322580645,0.9483870967741936,0.90625,0.01,0.95625,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p2_l0p04_lr5e5_s42_05-03_05-54/metrics_20260503_055425_nicme_v3_hybrid.json
0.05,0.04,0.9354838709677419,0.9758064516129032,0.005483870967741935,0.9741935483870968,0.90625,0.0121875,0.9625,3,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p05_l0p04_lr5e5_s42_05-03_01-42/metrics_20260503_014221_nicme_v3_hybrid.json
0.05,0.05,0.9354838709677419,0.9758064516129032,0.005483870967741935,0.9741935483870968,0.90625,0.009375,0.9625,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p05_l0p05_lr5e5_s42_05-03_01-46/metrics_20260503_014631_nicme_v3_hybrid.json
0.05,0.2,0.9354838709677419,0.9838709677419355,0.005806451612903226,0.9419354838709678,0.90625,0.0109375,0.946875,2,completed,results/pmi10_sota_convnext_base_test/grid-run_nicme_v3_hybrid_pretty_a0p05_l0p2_lr5e5_s42_05-03_02-04/metrics_20260503_020501_nicme_v3_hybrid.json
