phase,tag,dataset,model_family,model_checkpoint,method,decision_mode,nicme_logit_cost_scale,cs_lambda,target_class,cost_matrix_C_true_pred,target_recall_floor,accuracy_floor,accuracy_floor_metric,floor_accuracy_value,target_recall_floor_met,accuracy_floor_met,all_floors_met,normalized_atc,atc,target_recall,target_fnr,target_precision,target_fpr,accuracy,balanced_accuracy,macro_f1,selection_score,auroc,auprc,nll,brier,ece,temperature,threshold,calibration_selection_score,calibration_target_recall,calibration_accuracy,calibration_normalized_atc,confusion_matrix,run,metrics_file,config_file,elapsed_seconds
stop2b_threshold_tuning,spider_timm_convnext_logit_s0.5,spider_balanced_prototype,timm_dinov3_convnext_lora,timm/convnext_tiny.dinov3_lvd1689m,nicme_logit_adjustment,calibrated_cost_min,0.5,0.0,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",0.95,0.8,accuracy,0.5,True,False,False,0.05,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.3333333333333333,0.14,0.732421875,0.7484092240187423,0.6092990360353452,0.422583497958954,0.08207634058669043,1.1,,,,,,"[[32, 0], [32, 0]]",stop2b_threshold_spider_timm_convnext_logit_s0.5_04-28_07-21,results/timm_dinov3_convnext_lora_test/stop2b_threshold_spider_timm_convnext_logit_s0.5_04-28_07-21/metrics_20260428_072203_nicme_logit_adjustment.json,results/stop2b_threshold_tuning/configs/007_stop2b_threshold_spider_timm_convnext_logit_s0.5.json,25.086320400238037
stop2b_threshold_tuning,spider_timm_convnext_logit_s0.5,spider_balanced_prototype,timm_dinov3_convnext_lora,timm/convnext_tiny.dinov3_lvd1689m,nicme_logit_adjustment,calibrated_threshold,0.5,0.0,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",0.95,0.8,accuracy,0.59375,False,False,False,0.0828125,0.828125,0.90625,0.09375,0.5576923076923077,0.71875,0.59375,0.59375,0.5497835497835498,0.1330078125,0.732421875,0.7484092240187423,0.6092990360353452,0.422583497958954,0.08207634058669043,1.1,0.37283260915683114,0.07540039062500001,1.0,0.609375,0.0390625,"[[29, 3], [23, 9]]",stop2b_threshold_spider_timm_convnext_logit_s0.5_04-28_07-21,results/timm_dinov3_convnext_lora_test/stop2b_threshold_spider_timm_convnext_logit_s0.5_04-28_07-21/metrics_20260428_072203_nicme_logit_adjustment.json,results/stop2b_threshold_tuning/configs/007_stop2b_threshold_spider_timm_convnext_logit_s0.5.json,25.086320400238037
stop2b_threshold_tuning,breakhis_timm_vit_logit_s0.2,breakhis_balanced_prototype,timm_dinov3_vit_lora,timm/vit_small_patch16_dinov3.lvd1689m,nicme_logit_adjustment,argmax,0.2,0.0,malignant,"[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.71875,False,False,False,0.05625,0.5625,0.9375,0.0625,0.6521739130434783,0.5,0.71875,0.71875,0.7046153846153846,0.07770156249999999,0.83984375,0.8485552925223188,0.6901771922019732,0.49703011222260635,0.21624903101474047,,,,,,,"[[16, 16], [2, 30]]",stop2b_threshold_breakhis_timm_vit_logit_s0.2_04-28_07-24,results/timm_dinov3_vit_lora_test/stop2b_threshold_breakhis_timm_vit_logit_s0.2_04-28_07-24/metrics_20260428_072457_nicme_logit_adjustment.json,results/stop2b_threshold_tuning/configs/012_stop2b_threshold_breakhis_timm_vit_logit_s0.2.json,30.560515642166138
stop2b_threshold_tuning,breakhis_timm_vit_logit_s0.2,breakhis_balanced_prototype,timm_dinov3_vit_lora,timm/vit_small_patch16_dinov3.lvd1689m,nicme_logit_adjustment,calibrated_cost_min,0.2,0.0,malignant,"[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.5,True,False,False,0.05,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.3333333333333333,0.1725,0.83984375,0.8485552925223188,0.6872456297876834,0.49409924564612284,0.21374842946974726,0.5,,,,,,"[[0, 32], [0, 32]]",stop2b_threshold_breakhis_timm_vit_logit_s0.2_04-28_07-24,results/timm_dinov3_vit_lora_test/stop2b_threshold_breakhis_timm_vit_logit_s0.2_04-28_07-24/metrics_20260428_072457_nicme_logit_adjustment.json,results/stop2b_threshold_tuning/configs/012_stop2b_threshold_breakhis_timm_vit_logit_s0.2.json,30.560515642166138
stop2b_threshold_tuning,breakhis_timm_vit_logit_s0.2,breakhis_balanced_prototype,timm_dinov3_vit_lora,timm/vit_small_patch16_dinov3.lvd1689m,nicme_logit_adjustment,calibrated_threshold,0.2,0.0,malignant,"[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.703125,False,False,False,0.071875,0.71875,0.90625,0.09375,0.6444444444444445,0.5,0.703125,0.703125,0.6903488668194551,0.10970351562499997,0.83984375,0.8485552925223188,0.6872456297876834,0.49409924564612284,0.21374842946974726,0.5,0.5001204931915204,0.12047499999999998,0.9375,0.625,0.065625,"[[16, 16], [3, 29]]",stop2b_threshold_breakhis_timm_vit_logit_s0.2_04-28_07-24,results/timm_dinov3_vit_lora_test/stop2b_threshold_breakhis_timm_vit_logit_s0.2_04-28_07-24/metrics_20260428_072457_nicme_logit_adjustment.json,results/stop2b_threshold_tuning/configs/012_stop2b_threshold_breakhis_timm_vit_logit_s0.2.json,30.560515642166138
stop2b_threshold_tuning,spider_timm_vit_ce,spider_balanced_prototype,timm_dinov3_vit_lora,timm/vit_small_patch16_dinov3.lvd1689m,ce,argmax,1.0,10.0,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",0.95,0.8,accuracy,0.75,False,False,False,0.1375,1.375,0.75,0.25,0.75,0.25,0.75,0.75,0.75,0.29999999999999993,0.8095703125,0.8306759152269685,0.6884365551093603,0.49528966627967896,0.24652585480362177,,,,,,,"[[24, 8], [8, 24]]",stop2b_threshold_spider_timm_vit_ce_04-28_07-20,results/timm_dinov3_vit_lora_test/stop2b_threshold_spider_timm_vit_ce_04-28_07-20/metrics_20260428_072049_ce.json,results/stop2b_threshold_tuning/configs/004_stop2b_threshold_spider_timm_vit_ce.json,23.76066780090332
stop2b_threshold_tuning,spider_timm_vit_ce,spider_balanced_prototype,timm_dinov3_vit_lora,timm/vit_small_patch16_dinov3.lvd1689m,ce,calibrated_cost_min,1.0,10.0,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",0.95,0.8,accuracy,0.5,True,False,False,0.05,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.3333333333333333,0.14,0.8095703125,0.8306759152269685,0.6838013415136667,0.4906564792183069,0.24305270177345184,0.5,,,,,,"[[32, 0], [32, 0]]",stop2b_threshold_spider_timm_vit_ce_04-28_07-20,results/timm_dinov3_vit_lora_test/stop2b_threshold_spider_timm_vit_ce_04-28_07-20/metrics_20260428_072049_ce.json,results/stop2b_threshold_tuning/configs/004_stop2b_threshold_spider_timm_vit_ce.json,23.76066780090332
stop2b_threshold_tuning,spider_timm_vit_ce,spider_balanced_prototype,timm_dinov3_vit_lora,timm/vit_small_patch16_dinov3.lvd1689m,ce,calibrated_threshold,1.0,10.0,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",0.95,0.8,accuracy,0.6875,True,False,False,0.0453125,0.453125,0.96875,0.03125,0.62,0.59375,0.6875,0.6875,0.6606574761399787,0.057968750000000006,0.8095703125,0.8306759152269685,0.6838013415136667,0.4906564792183069,0.24305270177345184,0.5,0.49346157596211715,0.067822265625,0.9375,0.703125,0.0578125,"[[31, 1], [19, 13]]",stop2b_threshold_spider_timm_vit_ce_04-28_07-20,results/timm_dinov3_vit_lora_test/stop2b_threshold_spider_timm_vit_ce_04-28_07-20/metrics_20260428_072049_ce.json,results/stop2b_threshold_tuning/configs/004_stop2b_threshold_spider_timm_vit_ce.json,23.76066780090332
stop2b_threshold_tuning,spider_timm_vit_hybrid_s0.025_l0.1,spider_balanced_prototype,timm_dinov3_vit_lora,timm/vit_small_patch16_dinov3.lvd1689m,nicme_hybrid,argmax,0.025,0.1,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",0.95,0.8,accuracy,0.625,True,False,False,0.0515625,0.515625,0.96875,0.03125,0.5740740740740741,0.71875,0.625,0.625,0.5747508305647842,0.08218750000000001,0.83203125,0.8348635167885816,0.690516460200211,0.49736942121947114,0.12214841321110725,,,,,,,"[[31, 1], [23, 9]]",stop2b_threshold_spider_timm_vit_hybrid_s0.025_l0.1_04-28_07-21,results/timm_dinov3_vit_lora_test/stop2b_threshold_spider_timm_vit_hybrid_s0.025_l0.1_04-28_07-21/metrics_20260428_072138_nicme_hybrid.json,results/stop2b_threshold_tuning/configs/006_stop2b_threshold_spider_timm_vit_hybrid_s0.025_l0.1.json,24.12102699279785
stop2b_threshold_tuning,spider_timm_vit_hybrid_s0.025_l0.1,spider_balanced_prototype,timm_dinov3_vit_lora,timm/vit_small_patch16_dinov3.lvd1689m,nicme_hybrid,calibrated_cost_min,0.025,0.1,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",0.95,0.8,accuracy,0.5,True,False,False,0.05,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.3333333333333333,0.14,0.83203125,0.8348635167885816,0.6879353558892349,0.49478926797588213,0.11929737686992214,0.5,,,,,,"[[32, 0], [32, 0]]",stop2b_threshold_spider_timm_vit_hybrid_s0.025_l0.1_04-28_07-21,results/timm_dinov3_vit_lora_test/stop2b_threshold_spider_timm_vit_hybrid_s0.025_l0.1_04-28_07-21/metrics_20260428_072138_nicme_hybrid.json,results/stop2b_threshold_tuning/configs/006_stop2b_threshold_spider_timm_vit_hybrid_s0.025_l0.1.json,24.12102699279785
stop2b_threshold_tuning,spider_timm_vit_hybrid_s0.025_l0.1,spider_balanced_prototype,timm_dinov3_vit_lora,timm/vit_small_patch16_dinov3.lvd1689m,nicme_hybrid,calibrated_threshold,0.025,0.1,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",0.95,0.8,accuracy,0.625,True,False,False,0.0515625,0.515625,0.96875,0.03125,0.5740740740740741,0.71875,0.625,0.625,0.5747508305647842,0.08218750000000001,0.83203125,0.8348635167885816,0.6879353558892349,0.49478926797588213,0.11929737686992214,0.5,0.5011683460297035,0.04878906250000001,0.96875,0.71875,0.0421875,"[[31, 1], [23, 9]]",stop2b_threshold_spider_timm_vit_hybrid_s0.025_l0.1_04-28_07-21,results/timm_dinov3_vit_lora_test/stop2b_threshold_spider_timm_vit_hybrid_s0.025_l0.1_04-28_07-21/metrics_20260428_072138_nicme_hybrid.json,results/stop2b_threshold_tuning/configs/006_stop2b_threshold_spider_timm_vit_hybrid_s0.025_l0.1.json,24.12102699279785
stop2b_threshold_tuning,spider_timm_vit_logit_s0.05,spider_balanced_prototype,timm_dinov3_vit_lora,timm/vit_small_patch16_dinov3.lvd1689m,nicme_logit_adjustment,argmax,0.05,0.0,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",0.95,0.8,accuracy,0.6875,False,False,False,0.059375,0.59375,0.9375,0.0625,0.625,0.5625,0.6875,0.6875,0.6666666666666667,0.07265625,0.8125,0.8357844562339967,0.6883567541803189,0.49521017165925973,0.18297694995999336,,,,,,,"[[30, 2], [18, 14]]",stop2b_threshold_spider_timm_vit_logit_s0.05_04-28_07-21,results/timm_dinov3_vit_lora_test/stop2b_threshold_spider_timm_vit_logit_s0.05_04-28_07-21/metrics_20260428_072114_nicme_logit_adjustment.json,results/stop2b_threshold_tuning/configs/005_stop2b_threshold_spider_timm_vit_logit_s0.05.json,24.50941300392151
