dataset_key,dataset_display,seed,method,display_name,source,decision_mode,target_recall_min,target_recall_macro,normalized_atc,atc,accuracy,balanced_accuracy,macro_f1,critical_pair_error_count,learning_rate,parent_learning_rate,alpha,cs_lambda,metric_path,config_path
breakhis,BreaKHis,42,cost_sensitive_regularized_ce,cost-sensitive regularized CE,binary_camera_ready_breakhis_seed_42,argmax,0.8936170212765957,0.8936170212765957,0.06382978723404255,0.44680851063829785,0.8723404255319149,0.8723404255319149,0.8722826086956522,30,1e-05,5e-05,,,results/binary_sota_convnext_base_test/binary_breakhis_run_cost_sensitive_regularized_ce_lr5e5_s42_05-05_03-35/metrics_20260505_033528_cost_sensitive_regularized_ce.json,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_42/run/configs/0005_45b1ead42bb364b0.json
breakhis,BreaKHis,42,csada,CSADA,binary_camera_ready_breakhis_seed_42,argmax,1.0,1.0,0.07142857142857142,0.5,0.5,0.5,0.3333333333333333,0,1e-05,5e-05,,,results/binary_sota_convnext_base_test/binary_breakhis_run_csada_lr5e5_s42_05-05_03-41/metrics_20260505_034210_csada.json,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_42/run/configs/0006_1253ecc95df7314f.json
breakhis,BreaKHis,43,ce_anchor_binary,CE,binary_camera_ready_breakhis_seed_43,argmax,0.8865248226950354,0.8865248226950354,0.05952380952380953,0.4166666666666667,0.9237588652482269,0.9237588652482269,0.9236530197856164,32,5e-05,5e-05,,,results/binary_sota_convnext_base_test/binary_breakhis_run_ce_anchor_binary_lr5e5_s43_05-05_03-47/metrics_20260505_034713_cross_entropy.json,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_43/run/configs/0001_2a76cbd96b145339.json
breakhis,BreaKHis,43,ce_cost_min_inference_binary,CE + cost-min inference,binary_camera_ready_breakhis_seed_43,cost_min,0.9964539007092199,0.9964539007092199,0.04356636271529889,0.3049645390070922,0.7056737588652482,0.7056737588652482,0.6784890109890109,1,5e-05,5e-05,,,results/binary_sota_convnext_base_test/binary_breakhis_run_ce_anchor_binary_lr5e5_s43_05-05_03-47/metrics_20260505_034713_cross_entropy.json,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_43/run/configs/0001_2a76cbd96b145339.json
breakhis,BreaKHis,43,nicme_a0p5_l0p1_binary,"NICME (alpha=0.5, lambda=0.1)",binary_camera_ready_breakhis_seed_43,argmax,0.9290780141843972,0.9290780141843972,0.04305977710233029,0.30141843971631205,0.9113475177304965,0.9113475177304964,0.9113196392407452,20,5e-05,5e-05,0.5,0.1,results/binary_sota_convnext_base_test/binary_breakhis_run_nicme_a0p5_l0p1_binary_lr5e5_s43_05-05_03-52/metrics_20260505_035222_nicme_hybrid.json,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_43/run/configs/0002_fcfe3f6a9c72ed03.json
breakhis,BreaKHis,43,menon_logit_adjusted,Menon logit adjustment,binary_camera_ready_breakhis_seed_43,argmax,0.8865248226950354,0.8865248226950354,0.05952380952380953,0.4166666666666667,0.9237588652482269,0.9237588652482269,0.9236530197856164,32,5e-05,5e-05,,,results/binary_sota_convnext_base_test/binary_breakhis_run_menon_logit_adjusted_lr5e5_s43_05-05_03-57/metrics_20260505_035725_menon_logit_adjusted.json,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_43/run/configs/0003_227260119bc0e606.json
breakhis,BreaKHis,43,cost_weighted_ce,Cost-weighted CE,binary_camera_ready_breakhis_seed_43,argmax,0.9680851063829787,0.9680851063829787,0.04660587639311044,0.3262411347517731,0.7695035460992907,0.7695035460992907,0.7600408441116406,9,5e-05,5e-05,,,results/binary_sota_convnext_base_test/binary_breakhis_run_cost_weighted_ce_lr5e5_s43_05-05_04-02/metrics_20260505_040226_cost_weighted_ce.json,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_43/run/configs/0004_04f6bb42a05c0869.json
breakhis,BreaKHis,43,cost_sensitive_regularized_ce,cost-sensitive regularized CE,binary_camera_ready_breakhis_seed_43,argmax,0.950354609929078,0.950354609929078,0.037487335359675786,0.2624113475177305,0.8865248226950354,0.8865248226950355,0.886060606060606,14,1e-05,5e-05,,,results/binary_sota_convnext_base_test/binary_breakhis_run_cost_sensitive_regularized_ce_lr5e5_s43_05-05_04-05/metrics_20260505_040611_cost_sensitive_regularized_ce.json,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_43/run/configs/0005_7a42d44735aad8cf.json
breakhis,BreaKHis,43,csada,CSADA,binary_camera_ready_breakhis_seed_43,argmax,1.0,1.0,0.07142857142857142,0.5,0.5,0.5,0.3333333333333333,0,1e-05,5e-05,,,results/binary_sota_convnext_base_test/binary_breakhis_run_csada_lr5e5_s43_05-05_04-12/metrics_20260505_041251_csada.json,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_43/run/configs/0006_9040569d4b844fcd.json
breakhis,BreaKHis,44,ce_anchor_binary,CE,binary_camera_ready_breakhis_seed_44,argmax,0.9680851063829787,0.9680851063829787,0.031408308004052685,0.2198581560283688,0.875886524822695,0.875886524822695,0.8748224431818181,9,5e-05,5e-05,,,results/binary_sota_convnext_base_test/binary_breakhis_run_ce_anchor_binary_lr5e5_s44_05-05_04-19/metrics_20260505_041927_cross_entropy.json,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_44/run/configs/0001_74c01210bbdf0222.json
breakhis,BreaKHis,44,ce_cost_min_inference_binary,CE + cost-min inference,binary_camera_ready_breakhis_seed_44,cost_min,0.9964539007092199,0.9964539007092199,0.026089159067882475,0.18262411347517732,0.8280141843971631,0.8280141843971631,0.8229921280223638,1,5e-05,5e-05,,,results/binary_sota_convnext_base_test/binary_breakhis_run_ce_anchor_binary_lr5e5_s44_05-05_04-19/metrics_20260505_041927_cross_entropy.json,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_44/run/configs/0001_74c01210bbdf0222.json
breakhis,BreaKHis,44,nicme_a0p5_l0p1_binary,"NICME (alpha=0.5, lambda=0.1)",binary_camera_ready_breakhis_seed_44,argmax,0.9787234042553191,0.9787234042553191,0.028875379939209724,0.20212765957446807,0.8617021276595744,0.8617021276595744,0.8597819850831898,6,5e-05,5e-05,0.5,0.1,results/binary_sota_convnext_base_test/binary_breakhis_run_nicme_a0p5_l0p1_binary_lr5e5_s44_05-05_04-25/metrics_20260505_042551_nicme_hybrid.json,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_44/run/configs/0002_993afef8d6541a53.json
breakhis,BreaKHis,44,menon_logit_adjusted,Menon logit adjustment,binary_camera_ready_breakhis_seed_44,argmax,0.9680851063829787,0.9680851063829787,0.031408308004052685,0.2198581560283688,0.875886524822695,0.875886524822695,0.8748224431818181,9,5e-05,5e-05,,,results/binary_sota_convnext_base_test/binary_breakhis_run_menon_logit_adjusted_lr5e5_s44_05-05_04-32/metrics_20260505_043222_menon_logit_adjusted.json,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_44/run/configs/0003_1350ad5bc35bd11b.json
breakhis,BreaKHis,44,cost_weighted_ce,Cost-weighted CE,binary_camera_ready_breakhis_seed_44,argmax,0.9787234042553191,0.9787234042553191,0.047872340425531915,0.3351063829787234,0.7287234042553191,0.7287234042553191,0.7106382978723406,6,5e-05,5e-05,,,results/binary_sota_convnext_base_test/binary_breakhis_run_cost_weighted_ce_lr5e5_s44_05-05_04-37/metrics_20260505_043727_cost_weighted_ce.json,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_44/run/configs/0004_098b86e459a9746a.json
breakhis,BreaKHis,44,cost_sensitive_regularized_ce,cost-sensitive regularized CE,binary_camera_ready_breakhis_seed_44,argmax,0.9539007092198581,0.9539007092198581,0.034701114488348526,0.2429078014184397,0.8953900709219859,0.8953900709219857,0.895030709101061,13,1e-05,5e-05,,,results/binary_sota_convnext_base_test/binary_breakhis_run_cost_sensitive_regularized_ce_lr5e5_s44_05-05_04-41/metrics_20260505_044148_cost_sensitive_regularized_ce.json,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_44/run/configs/0005_95e012503217d2f6.json
breakhis,BreaKHis,44,csada,CSADA,binary_camera_ready_breakhis_seed_44,argmax,1.0,1.0,0.06965552178318137,0.4875886524822695,0.5124113475177305,0.5124113475177305,0.36033587521806726,0,1e-05,5e-05,,,results/binary_sota_convnext_base_test/binary_breakhis_run_csada_lr5e5_s44_05-05_04-48/metrics_20260505_044828_csada.json,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_44/run/configs/0006_23e72601374c2fd5.json
