dataset_key,seed,run_id,phase,method,role,comparison_profile,learning_rate_profile,learning_rate,parent_learning_rate,alpha,cs_lambda,status,config_hash,config_path,metric_path,checkpoint_path,prediction_mode,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,validation_target_recall_min,validation_target_recall_macro,validation_normalized_atc,validation_atc,validation_balanced_accuracy,validation_accuracy,validation_macro_f1,validation_critical_pair_error_count,cost_matrix_sha256,start_time,end_time,elapsed_seconds,stdout_log,stderr_log,returncode,failure_reason
breakhis,42,3,dry-run,menon_logit_adjusted,menon_logit_adjusted,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,b6eef6363168ab87,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_42/dry-run/configs/0003_b6eef6363168ab87.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_breakhis_dry-run_menon_logit_adjusted_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,2a349b00571563d87c41c05572ebc2ce0b2446142bc29da08f302ae4229af11b,,,,,,,
breakhis,42,4,dry-run,cost_weighted_ce,cost_weighted_ce,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,4051d2c755a26d08,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_42/dry-run/configs/0004_4051d2c755a26d08.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_breakhis_dry-run_cost_weighted_ce_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,2a349b00571563d87c41c05572ebc2ce0b2446142bc29da08f302ae4229af11b,,,,,,,
breakhis,42,5,dry-run,cost_sensitive_regularized_ce,cost_sensitive_regularized_ce,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,1e-05,5e-05,,,planned,bc3620880e0c31b2,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_42/dry-run/configs/0005_bc3620880e0c31b2.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_breakhis_dry-run_cost_sensitive_regularized_ce_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,2a349b00571563d87c41c05572ebc2ce0b2446142bc29da08f302ae4229af11b,,,,,,,
breakhis,42,6,dry-run,csada,csada,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,1e-05,5e-05,,,planned,0a29a5b67aec3687,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_42/dry-run/configs/0006_0a29a5b67aec3687.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_breakhis_dry-run_csada_lr5e5_s42,argmax,,,,,,,,,,,,,,,,,2a349b00571563d87c41c05572ebc2ce0b2446142bc29da08f302ae4229af11b,,,,,,,
breakhis,43,1,dry-run,ce_anchor_binary,ce_anchor_binary,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,54c8124a390a2e88,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_43/dry-run/configs/0001_54c8124a390a2e88.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_breakhis_dry-run_ce_anchor_binary_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,2a349b00571563d87c41c05572ebc2ce0b2446142bc29da08f302ae4229af11b,,,,,,,
breakhis,43,2,dry-run,nicme_a0p5_l0p1_binary,nicme_a0p5_l0p1_binary,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.5,0.1,planned,42e918efebd6f0d7,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_43/dry-run/configs/0002_42e918efebd6f0d7.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_breakhis_dry-run_nicme_a0p5_l0p1_binary_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,2a349b00571563d87c41c05572ebc2ce0b2446142bc29da08f302ae4229af11b,,,,,,,
breakhis,43,3,dry-run,menon_logit_adjusted,menon_logit_adjusted,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,fc2a1fc56f48fe24,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_43/dry-run/configs/0003_fc2a1fc56f48fe24.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_breakhis_dry-run_menon_logit_adjusted_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,2a349b00571563d87c41c05572ebc2ce0b2446142bc29da08f302ae4229af11b,,,,,,,
breakhis,43,4,dry-run,cost_weighted_ce,cost_weighted_ce,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,43e0796ee7f15538,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_43/dry-run/configs/0004_43e0796ee7f15538.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_breakhis_dry-run_cost_weighted_ce_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,2a349b00571563d87c41c05572ebc2ce0b2446142bc29da08f302ae4229af11b,,,,,,,
breakhis,43,5,dry-run,cost_sensitive_regularized_ce,cost_sensitive_regularized_ce,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,1e-05,5e-05,,,planned,a311904bed742648,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_43/dry-run/configs/0005_a311904bed742648.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_breakhis_dry-run_cost_sensitive_regularized_ce_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,2a349b00571563d87c41c05572ebc2ce0b2446142bc29da08f302ae4229af11b,,,,,,,
breakhis,43,6,dry-run,csada,csada,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,1e-05,5e-05,,,planned,06d5a7a96a904f76,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_43/dry-run/configs/0006_06d5a7a96a904f76.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_breakhis_dry-run_csada_lr5e5_s43,argmax,,,,,,,,,,,,,,,,,2a349b00571563d87c41c05572ebc2ce0b2446142bc29da08f302ae4229af11b,,,,,,,
breakhis,44,1,dry-run,ce_anchor_binary,ce_anchor_binary,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,7a8f241331188fd2,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_44/dry-run/configs/0001_7a8f241331188fd2.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_breakhis_dry-run_ce_anchor_binary_lr5e5_s44,argmax,,,,,,,,,,,,,,,,,2a349b00571563d87c41c05572ebc2ce0b2446142bc29da08f302ae4229af11b,,,,,,,
breakhis,44,2,dry-run,nicme_a0p5_l0p1_binary,nicme_a0p5_l0p1_binary,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,0.5,0.1,planned,83bbb15eac705561,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_44/dry-run/configs/0002_83bbb15eac705561.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_breakhis_dry-run_nicme_a0p5_l0p1_binary_lr5e5_s44,argmax,,,,,,,,,,,,,,,,,2a349b00571563d87c41c05572ebc2ce0b2446142bc29da08f302ae4229af11b,,,,,,,
breakhis,44,3,dry-run,menon_logit_adjusted,menon_logit_adjusted,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,fb90c4a53c176f80,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_44/dry-run/configs/0003_fb90c4a53c176f80.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_breakhis_dry-run_menon_logit_adjusted_lr5e5_s44,argmax,,,,,,,,,,,,,,,,,2a349b00571563d87c41c05572ebc2ce0b2446142bc29da08f302ae4229af11b,,,,,,,
breakhis,44,4,dry-run,cost_weighted_ce,cost_weighted_ce,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,5e-05,5e-05,,,planned,4e39f706c3ee073f,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_44/dry-run/configs/0004_4e39f706c3ee073f.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_breakhis_dry-run_cost_weighted_ce_lr5e5_s44,argmax,,,,,,,,,,,,,,,,,2a349b00571563d87c41c05572ebc2ce0b2446142bc29da08f302ae4229af11b,,,,,,,
breakhis,44,5,dry-run,cost_sensitive_regularized_ce,cost_sensitive_regularized_ce,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,1e-05,5e-05,,,planned,24e1eb8335c2851d,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_44/dry-run/configs/0005_24e1eb8335c2851d.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_breakhis_dry-run_cost_sensitive_regularized_ce_lr5e5_s44,argmax,,,,,,,,,,,,,,,,,2a349b00571563d87c41c05572ebc2ce0b2446142bc29da08f302ae4229af11b,,,,,,,
breakhis,44,6,dry-run,csada,csada,binary_camera_ready_cost8_7_lr5e5_multiseed,lr5e5,1e-05,5e-05,,,planned,35ec8249b004b8c8,/mnt/storage/github/NICME/results/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/datasets/breakhis/seeds/seed_44/dry-run/configs/0006_35ec8249b004b8c8.json,,checkpoints/binary_camera_ready_cost8_7_lr5e5_multiseed_20260505/binary_breakhis_dry-run_csada_lr5e5_s44,argmax,,,,,,,,,,,,,,,,,2a349b00571563d87c41c05572ebc2ce0b2446142bc29da08f302ae4229af11b,,,,,,,
