seed,method,display_name,source_label,metric,run50,candidate,delta_positive_favors_candidate,direction
43,nicme_run20_a0p06_l0p03_pmi20,"NICME PMI-10 run 20 (alpha=0.06, lambda=0.03)",PMI-10 run 20,balanced_accuracy,0.978125,0.9796875,0.0015625000000000222,higher
43,nicme_run20_a0p06_l0p03_pmi20,"NICME PMI-10 run 20 (alpha=0.06, lambda=0.03)",PMI-10 run 20,macro_f1,0.9782007221335738,0.9796631420984976,0.0014624199649238001,higher
43,nicme_run20_a0p06_l0p03_pmi20,"NICME PMI-10 run 20 (alpha=0.06, lambda=0.03)",PMI-10 run 20,critical_pair_error_count,3.0,3.0,0.0,lower
43,nicme_run95_a0p5_l0p07_pmi20,"NICME PMI-10 run 95 (alpha=0.5, lambda=0.07)",PMI-10 run 95,target_recall_min,0.90625,0.90625,0.0,higher
43,nicme_run95_a0p5_l0p07_pmi20,"NICME PMI-10 run 95 (alpha=0.5, lambda=0.07)",PMI-10 run 95,target_recall_macro,0.9609375,0.96875,0.0078125,higher
43,nicme_run95_a0p5_l0p07_pmi20,"NICME PMI-10 run 95 (alpha=0.5, lambda=0.07)",PMI-10 run 95,normalized_atc,0.00609375,0.0073437500000000005,-0.0012500000000000002,lower
43,nicme_run95_a0p5_l0p07_pmi20,"NICME PMI-10 run 95 (alpha=0.5, lambda=0.07)",PMI-10 run 95,atc,0.0609375,0.0734375,-0.012500000000000004,lower
43,nicme_run95_a0p5_l0p07_pmi20,"NICME PMI-10 run 95 (alpha=0.5, lambda=0.07)",PMI-10 run 95,balanced_accuracy,0.978125,0.9546875,-0.0234375,higher
43,nicme_run95_a0p5_l0p07_pmi20,"NICME PMI-10 run 95 (alpha=0.5, lambda=0.07)",PMI-10 run 95,macro_f1,0.9782007221335738,0.9538064910647099,-0.024394231068863848,higher
43,nicme_run95_a0p5_l0p07_pmi20,"NICME PMI-10 run 95 (alpha=0.5, lambda=0.07)",PMI-10 run 95,critical_pair_error_count,3.0,2.0,1.0,lower
43,nicme_run69_a0p2_l0p09_pmi20,"NICME PMI-10 run 69 (alpha=0.2, lambda=0.09)",PMI-10 run 69,target_recall_min,0.90625,0.875,-0.03125,higher
43,nicme_run69_a0p2_l0p09_pmi20,"NICME PMI-10 run 69 (alpha=0.2, lambda=0.09)",PMI-10 run 69,target_recall_macro,0.9609375,0.9609375,0.0,higher
43,nicme_run69_a0p2_l0p09_pmi20,"NICME PMI-10 run 69 (alpha=0.2, lambda=0.09)",PMI-10 run 69,normalized_atc,0.00609375,0.006562500000000001,-0.0004687500000000004,lower
43,nicme_run69_a0p2_l0p09_pmi20,"NICME PMI-10 run 69 (alpha=0.2, lambda=0.09)",PMI-10 run 69,atc,0.0609375,0.065625,-0.004687500000000004,lower
43,nicme_run69_a0p2_l0p09_pmi20,"NICME PMI-10 run 69 (alpha=0.2, lambda=0.09)",PMI-10 run 69,balanced_accuracy,0.978125,0.9625,-0.015625,higher
43,nicme_run69_a0p2_l0p09_pmi20,"NICME PMI-10 run 69 (alpha=0.2, lambda=0.09)",PMI-10 run 69,macro_f1,0.9782007221335738,0.962069262338494,-0.016131459795079794,higher
43,nicme_run69_a0p2_l0p09_pmi20,"NICME PMI-10 run 69 (alpha=0.2, lambda=0.09)",PMI-10 run 69,critical_pair_error_count,3.0,2.0,1.0,lower
43,nicme_extra_a0p5_l0p1_pmi20,"NICME added PMI-20 candidate (alpha=0.5, lambda=0.1)",added PMI-20 candidate,target_recall_min,0.90625,0.90625,0.0,higher
43,nicme_extra_a0p5_l0p1_pmi20,"NICME added PMI-20 candidate (alpha=0.5, lambda=0.1)",added PMI-20 candidate,target_recall_macro,0.9609375,0.96875,0.0078125,higher
43,nicme_extra_a0p5_l0p1_pmi20,"NICME added PMI-20 candidate (alpha=0.5, lambda=0.1)",added PMI-20 candidate,normalized_atc,0.00609375,0.00390625,0.0021875,lower
43,nicme_extra_a0p5_l0p1_pmi20,"NICME added PMI-20 candidate (alpha=0.5, lambda=0.1)",added PMI-20 candidate,atc,0.0609375,0.0390625,0.021875,lower
43,nicme_extra_a0p5_l0p1_pmi20,"NICME added PMI-20 candidate (alpha=0.5, lambda=0.1)",added PMI-20 candidate,balanced_accuracy,0.978125,0.9890625,0.010937499999999933,higher
43,nicme_extra_a0p5_l0p1_pmi20,"NICME added PMI-20 candidate (alpha=0.5, lambda=0.1)",added PMI-20 candidate,macro_f1,0.9782007221335738,0.9890538552217055,0.010853133088131739,higher
43,nicme_extra_a0p5_l0p1_pmi20,"NICME added PMI-20 candidate (alpha=0.5, lambda=0.1)",added PMI-20 candidate,critical_pair_error_count,3.0,2.0,1.0,lower
44,nicme_run53_a0p09_l0p2_pmi20,"NICME PMI-10 run 53 (alpha=0.09, lambda=0.2)",PMI-10 run 53,target_recall_min,0.9375,0.90625,-0.03125,higher
44,nicme_run53_a0p09_l0p2_pmi20,"NICME PMI-10 run 53 (alpha=0.09, lambda=0.2)",PMI-10 run 53,target_recall_macro,0.9765625,0.96875,-0.0078125,higher
44,nicme_run53_a0p09_l0p2_pmi20,"NICME PMI-10 run 53 (alpha=0.09, lambda=0.2)",PMI-10 run 53,normalized_atc,0.005,0.0046875,0.0003125000000000003,lower
44,nicme_run53_a0p09_l0p2_pmi20,"NICME PMI-10 run 53 (alpha=0.09, lambda=0.2)",PMI-10 run 53,atc,0.05,0.046875,0.0031250000000000028,lower
44,nicme_run53_a0p09_l0p2_pmi20,"NICME PMI-10 run 53 (alpha=0.09, lambda=0.2)",PMI-10 run 53,balanced_accuracy,0.9640625,0.9671875,0.0031249999999999334,higher
44,nicme_run53_a0p09_l0p2_pmi20,"NICME PMI-10 run 53 (alpha=0.09, lambda=0.2)",PMI-10 run 53,macro_f1,0.963790069300025,0.9669963879772465,0.0032063186772215424,higher
44,nicme_run53_a0p09_l0p2_pmi20,"NICME PMI-10 run 53 (alpha=0.09, lambda=0.2)",PMI-10 run 53,critical_pair_error_count,1.0,1.0,0.0,lower
44,nicme_run20_a0p06_l0p03_pmi20,"NICME PMI-10 run 20 (alpha=0.06, lambda=0.03)",PMI-10 run 20,target_recall_min,0.9375,0.875,-0.0625,higher
44,nicme_run20_a0p06_l0p03_pmi20,"NICME PMI-10 run 20 (alpha=0.06, lambda=0.03)",PMI-10 run 20,target_recall_macro,0.9765625,0.9609375,-0.015625,higher
44,nicme_run20_a0p06_l0p03_pmi20,"NICME PMI-10 run 20 (alpha=0.06, lambda=0.03)",PMI-10 run 20,normalized_atc,0.005,0.00609375,-0.00109375,lower
44,nicme_run20_a0p06_l0p03_pmi20,"NICME PMI-10 run 20 (alpha=0.06, lambda=0.03)",PMI-10 run 20,atc,0.05,0.0609375,-0.010937499999999996,lower
44,nicme_run20_a0p06_l0p03_pmi20,"NICME PMI-10 run 20 (alpha=0.06, lambda=0.03)",PMI-10 run 20,balanced_accuracy,0.9640625,0.9671875,0.0031249999999999334,higher
44,nicme_run20_a0p06_l0p03_pmi20,"NICME PMI-10 run 20 (alpha=0.06, lambda=0.03)",PMI-10 run 20,macro_f1,0.963790069300025,0.9667358276494514,0.0029457583494264528,higher
44,nicme_run20_a0p06_l0p03_pmi20,"NICME PMI-10 run 20 (alpha=0.06, lambda=0.03)",PMI-10 run 20,critical_pair_error_count,1.0,2.0,-1.0,lower
44,nicme_run95_a0p5_l0p07_pmi20,"NICME PMI-10 run 95 (alpha=0.5, lambda=0.07)",PMI-10 run 95,target_recall_min,0.9375,0.9375,0.0,higher
44,nicme_run95_a0p5_l0p07_pmi20,"NICME PMI-10 run 95 (alpha=0.5, lambda=0.07)",PMI-10 run 95,target_recall_macro,0.9765625,0.9765625,0.0,higher
44,nicme_run95_a0p5_l0p07_pmi20,"NICME PMI-10 run 95 (alpha=0.5, lambda=0.07)",PMI-10 run 95,normalized_atc,0.005,0.00671875,-0.0017187499999999998,lower
44,nicme_run95_a0p5_l0p07_pmi20,"NICME PMI-10 run 95 (alpha=0.5, lambda=0.07)",PMI-10 run 95,atc,0.05,0.0671875,-0.017187499999999994,lower
44,nicme_run95_a0p5_l0p07_pmi20,"NICME PMI-10 run 95 (alpha=0.5, lambda=0.07)",PMI-10 run 95,balanced_accuracy,0.9640625,0.94375,-0.020312500000000067,higher
44,nicme_run95_a0p5_l0p07_pmi20,"NICME PMI-10 run 95 (alpha=0.5, lambda=0.07)",PMI-10 run 95,macro_f1,0.963790069300025,0.9414660243111092,-0.022324044988915825,higher
44,nicme_run95_a0p5_l0p07_pmi20,"NICME PMI-10 run 95 (alpha=0.5, lambda=0.07)",PMI-10 run 95,critical_pair_error_count,1.0,1.0,0.0,lower
44,nicme_run69_a0p2_l0p09_pmi20,"NICME PMI-10 run 69 (alpha=0.2, lambda=0.09)",PMI-10 run 69,target_recall_min,0.9375,0.9375,0.0,higher
44,nicme_run69_a0p2_l0p09_pmi20,"NICME PMI-10 run 69 (alpha=0.2, lambda=0.09)",PMI-10 run 69,target_recall_macro,0.9765625,0.96875,-0.0078125,higher
44,nicme_run69_a0p2_l0p09_pmi20,"NICME PMI-10 run 69 (alpha=0.2, lambda=0.09)",PMI-10 run 69,normalized_atc,0.005,0.0053124999999999995,-0.0003124999999999994,lower
44,nicme_run69_a0p2_l0p09_pmi20,"NICME PMI-10 run 69 (alpha=0.2, lambda=0.09)",PMI-10 run 69,atc,0.05,0.053125,-0.003124999999999996,lower
44,nicme_run69_a0p2_l0p09_pmi20,"NICME PMI-10 run 69 (alpha=0.2, lambda=0.09)",PMI-10 run 69,balanced_accuracy,0.9640625,0.971875,0.0078125,higher
44,nicme_run69_a0p2_l0p09_pmi20,"NICME PMI-10 run 69 (alpha=0.2, lambda=0.09)",PMI-10 run 69,macro_f1,0.963790069300025,0.9720452914421367,0.008255222142111718,higher
44,nicme_run69_a0p2_l0p09_pmi20,"NICME PMI-10 run 69 (alpha=0.2, lambda=0.09)",PMI-10 run 69,critical_pair_error_count,1.0,2.0,-1.0,lower
44,nicme_extra_a0p5_l0p1_pmi20,"NICME added PMI-20 candidate (alpha=0.5, lambda=0.1)",added PMI-20 candidate,target_recall_min,0.9375,0.9375,0.0,higher
44,nicme_extra_a0p5_l0p1_pmi20,"NICME added PMI-20 candidate (alpha=0.5, lambda=0.1)",added PMI-20 candidate,target_recall_macro,0.9765625,0.984375,0.0078125,higher
44,nicme_extra_a0p5_l0p1_pmi20,"NICME added PMI-20 candidate (alpha=0.5, lambda=0.1)",added PMI-20 candidate,normalized_atc,0.005,0.0026562499999999998,0.0023437500000000003,lower
44,nicme_extra_a0p5_l0p1_pmi20,"NICME added PMI-20 candidate (alpha=0.5, lambda=0.1)",added PMI-20 candidate,atc,0.05,0.0265625,0.023437500000000003,lower
44,nicme_extra_a0p5_l0p1_pmi20,"NICME added PMI-20 candidate (alpha=0.5, lambda=0.1)",added PMI-20 candidate,balanced_accuracy,0.9640625,0.9734375,0.009374999999999911,higher
44,nicme_extra_a0p5_l0p1_pmi20,"NICME added PMI-20 candidate (alpha=0.5, lambda=0.1)",added PMI-20 candidate,macro_f1,0.963790069300025,0.9734237997358715,0.009633730435846477,higher
44,nicme_extra_a0p5_l0p1_pmi20,"NICME added PMI-20 candidate (alpha=0.5, lambda=0.1)",added PMI-20 candidate,critical_pair_error_count,1.0,0.0,1.0,lower
