seed,method,role,source,decision_mode,target_recall_min,target_recall_macro,normalized_atc,atc,balanced_accuracy,accuracy,macro_f1,critical_pair_error_count,learning_rate,parent_learning_rate,alpha,cs_lambda,metric_path,config_path
42,sosr_cnn,sosr_cnn,camera_ready_seed_42,sosr_argmin,0.3125,0.796875,0.0234375,0.234375,0.765625,0.765625,0.7451468996089284,0,1e-05,5e-05,,,results/pmi10_sota_convnext_base_test/camera_ready_run_sosr_cnn_lr5e5_s42_05-03_21-35/metrics_20260503_213517_sosr_cnn.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0010_4c260f6a6dc4226b.json
42,csada,csada,camera_ready_seed_42,argmax,0.84375,0.9453125,0.0278125,0.278125,0.859375,0.859375,0.8397880256069762,6,1e-05,5e-05,,,results/pmi10_sota_convnext_base_test/camera_ready_run_csada_lr5e5_s42_05-03_21-37/metrics_20260503_213737_csada.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_42/run/configs/0011_bd16fca0a65a0bd1.json
43,ce_anchor_pretty,ce_anchor_pretty,camera_ready_seed_43,argmax,0.90625,0.96875,0.008749999999999999,0.0875,0.96875,0.96875,0.9687530421485647,2,5e-05,5e-05,,,results/pmi10_sota_convnext_base_test/camera_ready_run_ce_anchor_pretty_lr5e5_s43_05-03_21-43/metrics_20260503_214337_cross_entropy.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0001_70dc4981a4a3ab77.json
43,ce_cost_min_inference_pretty,ce_cost_min_inference_pretty,camera_ready_seed_43,cost_min,0.90625,0.96875,0.008749999999999999,0.0875,0.96875,0.96875,0.9687544990250215,2,5e-05,5e-05,,,results/pmi10_sota_convnext_base_test/camera_ready_run_ce_anchor_pretty_lr5e5_s43_05-03_21-43/metrics_20260503_214337_cross_entropy.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0001_70dc4981a4a3ab77.json
43,nicme_v3_hybrid_pretty_a0p5_l0p07,nicme_v3_hybrid_pretty_a0p5_l0p07,camera_ready_seed_43,argmax,0.875,0.921875,0.041875,0.41875,0.79375,0.79375,0.765835148290726,8,5e-05,5e-05,0.5,0.07,results/pmi10_sota_convnext_base_test/camera_ready_run_nicme_v3_hybrid_pretty_a0p5_l0p07_lr5e5_s43_05-03_21-46/metrics_20260503_214613_nicme_v3_hybrid.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0002_eef5d6d1038b6362.json
43,nicme_v2_hybrid_pretty,nicme_v2_hybrid_pretty,camera_ready_seed_43,argmax,0.90625,0.96875,0.010312499999999999,0.103125,0.953125,0.953125,0.9530938222952446,2,5e-05,5e-05,0.4,0.25,results/pmi10_sota_convnext_base_test/camera_ready_run_nicme_v2_hybrid_pretty_lr5e5_s43_05-03_21-49/metrics_20260503_215002_nicme_hybrid.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0003_fe4d3ef1a0502dac.json
43,cost_weighted_ce,cost_weighted_ce,camera_ready_seed_43,argmax,0.9375,0.9765625,0.011875,0.11875,0.9375,0.9375,0.9351066486700834,2,5e-05,5e-05,,,results/pmi10_sota_convnext_base_test/camera_ready_run_cost_weighted_ce_lr5e5_s43_05-03_21-54/metrics_20260503_215417_cost_weighted_ce.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0004_e8ad7bc831a8016c.json
43,menon_logit_adjusted,menon_logit_adjusted,camera_ready_seed_43,argmax,0.9375,0.9765625,0.005625,0.05625,0.971875,0.971875,0.9720930959120053,1,5e-05,5e-05,,,results/pmi10_sota_convnext_base_test/camera_ready_run_menon_logit_adjusted_lr5e5_s43_05-03_21-59/metrics_20260503_215948_menon_logit_adjusted.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0005_924ab186c4101743.json
43,balanced_softmax,balanced_softmax,camera_ready_seed_43,argmax,0.8125,0.9453125,0.0084375,0.084375,0.971875,0.971875,0.971378657262278,2,5e-05,5e-05,,,results/pmi10_sota_convnext_base_test/camera_ready_run_balanced_softmax_lr5e5_s43_05-03_22-04/metrics_20260503_220453_balanced_softmax.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0006_60ab804a0db2b2c5.json
43,class_balanced_focal,class_balanced_focal,camera_ready_seed_43,argmax,0.78125,0.9375,0.0059375,0.059375,0.96875,0.96875,0.9683264110241797,1,5e-05,5e-05,,,results/pmi10_sota_convnext_base_test/camera_ready_run_class_balanced_focal_lr5e5_s43_05-03_22-54/metrics_20260503_225439_class_balanced_focal.json,/mnt/storage/github/NICME/results/pmi10_camera_ready_lr5e5_multiseed_20260504/seeds/seed_43/run/configs/0007_726346ef883b95e3.json
