phase,tag,dataset,model_family,model_checkpoint,method,decision_mode,nicme_logit_cost_scale,cs_lambda,target_class,cost_matrix_C_true_pred,target_recall_floor,accuracy_floor,accuracy_floor_metric,floor_accuracy_value,target_recall_floor_met,accuracy_floor_met,all_floors_met,normalized_atc,atc,target_recall,target_fnr,target_precision,target_fpr,accuracy,balanced_accuracy,macro_f1,selection_score,auroc,auprc,nll,brier,ece,temperature,threshold,calibration_selection_score,confusion_matrix,run,metrics_file,config_file,elapsed_seconds
stop2c_nicme_frontier,breakhis_vit_hybrid_s0.75_l0.25,breakhis_balanced_prototype,vit,google/vit-base-patch16-224-in21k,nicme_hybrid,calibrated_threshold,0.75,0.25,malignant,"[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.953125,False,True,False,0.01875,0.1875,0.96875,0.03125,0.9393939393939394,0.0625,0.953125,0.953125,0.9531135531135531,0.01875625,0.95703125,0.9709119862153615,0.5079589030455565,0.3208161868452176,0.3372042964577919,0.5,0.4897129004160664,0.0125,"[[30, 2], [1, 31]]",stop2c_frontier_breakhis_vit_hybrid_s0.75_l0.25_04-28_07-33,results/vit_test/stop2c_frontier_breakhis_vit_hybrid_s0.75_l0.25_04-28_07-33/metrics_20260428_073337_nicme_hybrid.json,results/stop2c_nicme_frontier/configs/014_stop2c_frontier_breakhis_vit_hybrid_s0.75_l0.25.json,35.95296859741211
stop2c_nicme_frontier,breakhis_vit_logit_s0.3,breakhis_balanced_prototype,vit,google/vit-base-patch16-224-in21k,nicme_logit_adjustment,argmax,0.3,0.0,malignant,"[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.9375,False,True,False,0.0625,0.625,0.875,0.125,1.0,0.0,0.9375,0.9375,0.9372549019607843,0.09859999999999998,0.978515625,0.9849029356060606,0.4893213987508128,0.3032206567764478,0.3115151599049568,,,,"[[32, 0], [4, 28]]",stop2c_frontier_breakhis_vit_logit_s0.3_04-28_07-36,results/vit_test/stop2c_frontier_breakhis_vit_logit_s0.3_04-28_07-36/metrics_20260428_073638_nicme_logit_adjustment.json,results/stop2c_nicme_frontier/configs/019_stop2c_frontier_breakhis_vit_logit_s0.3.json,35.37187910079956
stop2c_nicme_frontier,breakhis_vit_logit_s0.3,breakhis_balanced_prototype,vit,google/vit-base-patch16-224-in21k,nicme_logit_adjustment,calibrated_cost_min,0.3,0.0,malignant,"[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.5,True,False,False,0.05,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.3333333333333333,0.1725,0.978515625,0.9849029356060606,0.3595056905533921,0.1979825223050215,0.20970569865266772,0.5,,,"[[0, 32], [0, 32]]",stop2c_frontier_breakhis_vit_logit_s0.3_04-28_07-36,results/vit_test/stop2c_frontier_breakhis_vit_logit_s0.3_04-28_07-36/metrics_20260428_073638_nicme_logit_adjustment.json,results/stop2c_nicme_frontier/configs/019_stop2c_frontier_breakhis_vit_logit_s0.3.json,35.37187910079956
stop2c_nicme_frontier,breakhis_vit_logit_s0.3,breakhis_balanced_prototype,vit,google/vit-base-patch16-224-in21k,nicme_logit_adjustment,calibrated_threshold,0.3,0.0,malignant,"[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.9375,False,True,False,0.0203125,0.203125,0.96875,0.03125,0.9117647058823529,0.09375,0.9375,0.9375,0.9374389051808407,0.02031875,0.978515625,0.9849029356060606,0.3595056905533921,0.1979825223050215,0.20970569865266772,0.5,0.3255161378982787,0.009375,"[[29, 3], [1, 31]]",stop2c_frontier_breakhis_vit_logit_s0.3_04-28_07-36,results/vit_test/stop2c_frontier_breakhis_vit_logit_s0.3_04-28_07-36/metrics_20260428_073638_nicme_logit_adjustment.json,results/stop2c_nicme_frontier/configs/019_stop2c_frontier_breakhis_vit_logit_s0.3.json,35.37187910079956
stop2c_nicme_frontier,breakhis_vit_logit_s0.5,breakhis_balanced_prototype,vit,google/vit-base-patch16-224-in21k,nicme_logit_adjustment,argmax,0.5,0.0,malignant,"[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.921875,False,True,False,0.0640625,0.640625,0.875,0.125,0.9655172413793104,0.03125,0.921875,0.921875,0.921702960606802,0.10016249999999997,0.9658203125,0.9768881696596263,0.5701102110885331,0.37886221133409115,0.3496088422834873,,,,"[[31, 1], [4, 28]]",stop2c_frontier_breakhis_vit_logit_s0.5_04-28_07-37,results/vit_test/stop2c_frontier_breakhis_vit_logit_s0.5_04-28_07-37/metrics_20260428_073715_nicme_logit_adjustment.json,results/stop2c_nicme_frontier/configs/020_stop2c_frontier_breakhis_vit_logit_s0.5.json,37.057740688323975
stop2c_nicme_frontier,breakhis_vit_logit_s0.5,breakhis_balanced_prototype,vit,google/vit-base-patch16-224-in21k,nicme_logit_adjustment,calibrated_cost_min,0.5,0.0,malignant,"[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.5,True,False,False,0.05,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.3333333333333333,0.1725,0.9658203125,0.9768881696596263,0.4747949983189631,0.2918588895621692,0.28381725410924313,0.5,,,"[[0, 32], [0, 32]]",stop2c_frontier_breakhis_vit_logit_s0.5_04-28_07-37,results/vit_test/stop2c_frontier_breakhis_vit_logit_s0.5_04-28_07-37/metrics_20260428_073715_nicme_logit_adjustment.json,results/stop2c_nicme_frontier/configs/020_stop2c_frontier_breakhis_vit_logit_s0.5.json,37.057740688323975
stop2c_nicme_frontier,breakhis_vit_logit_s0.5,breakhis_balanced_prototype,vit,google/vit-base-patch16-224-in21k,nicme_logit_adjustment,calibrated_threshold,0.5,0.0,malignant,"[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.921875,False,True,False,0.0359375,0.359375,0.9375,0.0625,0.9090909090909091,0.09375,0.921875,0.921875,0.9218559218559218,0.04016249999999999,0.9658203125,0.9768881696596263,0.4747949983189631,0.2918588895621692,0.28381725410924313,0.5,0.4437511933027276,0.00625,"[[29, 3], [2, 30]]",stop2c_frontier_breakhis_vit_logit_s0.5_04-28_07-37,results/vit_test/stop2c_frontier_breakhis_vit_logit_s0.5_04-28_07-37/metrics_20260428_073715_nicme_logit_adjustment.json,results/stop2c_nicme_frontier/configs/020_stop2c_frontier_breakhis_vit_logit_s0.5.json,37.057740688323975
stop2c_nicme_frontier,breakhis_vit_logit_s0.75,breakhis_balanced_prototype,vit,google/vit-base-patch16-224-in21k,nicme_logit_adjustment,argmax,0.75,0.0,malignant,"[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.921875,False,True,False,0.0640625,0.640625,0.875,0.125,0.9655172413793104,0.03125,0.921875,0.921875,0.921702960606802,0.10016249999999997,0.9580078125,0.97298238500381,0.5897252651500805,0.39756503179817704,0.36069724895060057,,,,"[[31, 1], [4, 28]]",stop2c_frontier_breakhis_vit_logit_s0.75_04-28_07-37,results/vit_test/stop2c_frontier_breakhis_vit_logit_s0.75_04-28_07-37/metrics_20260428_073751_nicme_logit_adjustment.json,results/stop2c_nicme_frontier/configs/021_stop2c_frontier_breakhis_vit_logit_s0.75.json,35.89850997924805
stop2c_nicme_frontier,breakhis_vit_logit_s0.75,breakhis_balanced_prototype,vit,google/vit-base-patch16-224-in21k,nicme_logit_adjustment,calibrated_cost_min,0.75,0.0,malignant,"[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.5,True,False,False,0.05,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.3333333333333333,0.1725,0.9580078125,0.97298238500381,0.5052640017491734,0.31818389342830006,0.3029746070025579,0.5,,,"[[0, 32], [0, 32]]",stop2c_frontier_breakhis_vit_logit_s0.75_04-28_07-37,results/vit_test/stop2c_frontier_breakhis_vit_logit_s0.75_04-28_07-37/metrics_20260428_073751_nicme_logit_adjustment.json,results/stop2c_nicme_frontier/configs/021_stop2c_frontier_breakhis_vit_logit_s0.75.json,35.89850997924805
stop2c_nicme_frontier,breakhis_vit_logit_s0.75,breakhis_balanced_prototype,vit,google/vit-base-patch16-224-in21k,nicme_logit_adjustment,calibrated_threshold,0.75,0.0,malignant,"[[0.0, 1.0], [10.0, 0.0]]",0.97,0.85,accuracy,0.921875,False,True,False,0.05,0.5,0.90625,0.09375,0.9354838709677419,0.0625,0.921875,0.921875,0.9218559218559218,0.06625624999999999,0.9580078125,0.97298238500381,0.5052640017491734,0.31818389342830006,0.3029746070025579,0.5,0.4666549532863822,0.00625,"[[30, 2], [3, 29]]",stop2c_frontier_breakhis_vit_logit_s0.75_04-28_07-37,results/vit_test/stop2c_frontier_breakhis_vit_logit_s0.75_04-28_07-37/metrics_20260428_073751_nicme_logit_adjustment.json,results/stop2c_nicme_frontier/configs/021_stop2c_frontier_breakhis_vit_logit_s0.75.json,35.89850997924805
