dataset,model_family,method,decision_mode,run,metrics_file,normalized_atc,atc,target_recall,target_fnr,accuracy,balanced_accuracy,macro_f1,selection_score,selection_accuracy_value,nll,brier,ece,auroc,auprc,temperature
breakhis_balanced_prototype,timm_dinov3_vit_lora,nicme_hybrid,argmax,stop2_prototype_breakhis_balanced_prototype_timm_dinov3_vit_lora_nicme_hybrid_04-28_05-36,results/timm_dinov3_vit_lora_test/stop2_prototype_breakhis_balanced_prototype_timm_dinov3_vit_lora_nicme_hybrid_04-28_05-36/metrics_20260428_053635_nicme_hybrid.json,0.05,0.5,1.0,0.0,0.5,0.5,0.3333333333333333,0.1725,0.5,0.6926367492066057,0.4994897886944504,0.009572657756507397,0.751953125,0.7789640000690902,
breakhis_balanced_prototype,timm_dinov3_vit_lora,nicme_hybrid,calibrated_cost_min,stop2_prototype_breakhis_balanced_prototype_timm_dinov3_vit_lora_nicme_hybrid_04-28_05-36,results/timm_dinov3_vit_lora_test/stop2_prototype_breakhis_balanced_prototype_timm_dinov3_vit_lora_nicme_hybrid_04-28_05-36/metrics_20260428_053635_nicme_hybrid.json,0.05,0.5,1.0,0.0,0.5,0.5,0.3333333333333333,0.1725,0.5,0.6926823945654107,0.4995353629253401,0.008324303134278455,0.751953125,0.7789640000690902,1.15
breakhis_balanced_prototype,vit,ce,argmax,stop2_prototype_breakhis_balanced_prototype_vit_ce_04-28_05-32,results/vit_test/stop2_prototype_breakhis_balanced_prototype_vit_ce_04-28_05-32/metrics_20260428_053236_ce.json,0.046875,0.46875,0.90625,0.09375,0.953125,0.953125,0.9530217763640813,0.06313124999999999,0.953125,0.44220322151607083,0.26171326199166733,0.285472814925015,0.9619140625,0.9769705555995879,
breakhis_balanced_prototype,vit,ce,calibrated_cost_min,stop2_prototype_breakhis_balanced_prototype_vit_ce_04-28_05-32,results/vit_test/stop2_prototype_breakhis_balanced_prototype_vit_ce_04-28_05-32/metrics_20260428_053236_ce.json,0.0484375,0.484375,1.0,0.0,0.515625,0.515625,0.3671451355661882,0.16024414062499998,0.515625,0.3145831737675937,0.16859827525329477,0.16599159702797123,0.9619140625,0.9769705555995879,0.5
breakhis_balanced_prototype,vit,ce_calibrated_cost_min,argmax,stop2_prototype_breakhis_balanced_prototype_vit_ce_calibrated_cost_min_04-28_05-33,results/vit_test/stop2_prototype_breakhis_balanced_prototype_vit_ce_calibrated_cost_min_04-28_05-33/metrics_20260428_053313_ce_calibrated_cost_min.json,0.046875,0.46875,0.90625,0.09375,0.953125,0.953125,0.9530217763640813,0.06313124999999999,0.953125,0.44127468716218854,0.26077426015353794,0.2851542923599482,0.9619140625,0.9769705555995879,
breakhis_balanced_prototype,vit,ce_calibrated_cost_min,calibrated_cost_min,stop2_prototype_breakhis_balanced_prototype_vit_ce_calibrated_cost_min_04-28_05-33,results/vit_test/stop2_prototype_breakhis_balanced_prototype_vit_ce_calibrated_cost_min_04-28_05-33/metrics_20260428_053313_ce_calibrated_cost_min.json,0.0484375,0.484375,1.0,0.0,0.515625,0.515625,0.3671451355661882,0.16024414062499998,0.515625,0.3127261679147354,0.16685328436154484,0.16525478739037508,0.9619140625,0.9769705555995879,0.5
breakhis_balanced_prototype,vit,menon_logit_adjusted,argmax,stop2_prototype_breakhis_balanced_prototype_vit_menon_logit_adjusted_04-28_05-33,results/vit_test/stop2_prototype_breakhis_balanced_prototype_vit_menon_logit_adjusted_04-28_05-33/metrics_20260428_053344_menon_logit_adjusted.json,0.046875,0.46875,0.90625,0.09375,0.953125,0.953125,0.9530217763640813,0.06313124999999999,0.953125,0.44239471025268085,0.26190440238104334,0.28551518358290195,0.9619140625,0.9769705555995879,
breakhis_balanced_prototype,vit,menon_logit_adjusted,calibrated_cost_min,stop2_prototype_breakhis_balanced_prototype_vit_menon_logit_adjusted_04-28_05-33,results/vit_test/stop2_prototype_breakhis_balanced_prototype_vit_menon_logit_adjusted_04-28_05-33/metrics_20260428_053344_menon_logit_adjusted.json,0.0484375,0.484375,1.0,0.0,0.515625,0.515625,0.3671451355661882,0.16024414062499998,0.515625,0.314985585829846,0.16895247380420975,0.16610950854475215,0.9619140625,0.9769705555995879,0.5
breakhis_balanced_prototype,vit,nicme_hybrid,argmax,stop2_prototype_breakhis_balanced_prototype_vit_nicme_hybrid_04-28_05-34,results/vit_test/stop2_prototype_breakhis_balanced_prototype_vit_nicme_hybrid_04-28_05-34/metrics_20260428_053434_nicme_hybrid.json,0.0234375,0.234375,0.96875,0.03125,0.90625,0.90625,0.9058823529411765,0.02344375,0.90625,0.3526127236618178,0.22079405711878797,0.17061893362551928,0.9755859375,0.9845111655773421,
breakhis_balanced_prototype,vit,nicme_hybrid,calibrated_cost_min,stop2_prototype_breakhis_balanced_prototype_vit_nicme_hybrid_04-28_05-34,results/vit_test/stop2_prototype_breakhis_balanced_prototype_vit_nicme_hybrid_04-28_05-34/metrics_20260428_053434_nicme_hybrid.json,0.05,0.5,1.0,0.0,0.5,0.5,0.3333333333333333,0.1725,0.5,0.3410461599049253,0.21480713689424966,0.1810059858263901,0.9755859375,0.9845111655773421,0.9
