dataset,model_family,model_checkpoint,training_method,inference_mode,class_order,target_class,cost_matrix_C_true_pred,cost_matrix_meaning,target_recall_floor,accuracy_floor,accuracy_floor_metric,normalized_atc,atc,target_recall,target_fnr,target_precision,target_fpr,accuracy,balanced_accuracy,macro_f1,selection_score,auroc,auprc,nll,brier,ece,temperature,calibration_nll_before,calibration_nll_after,confusion_matrix_rows_true_cols_pred,run,metrics_file,config_file
spider_balanced_prototype,timm_dinov3_vit_lora,timm/vit_small_patch16_dinov3.lvd1689m,menon_logit_adjusted,argmax,black_widow / false_widow,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",C[black_widow][false_widow]=10; C[false_widow][black_widow]=1,0.95,0.8,accuracy,0.1375,1.375,0.75,0.25,0.75,0.25,0.75,0.75,0.75,0.29999999999999993,0.8095703125,0.8306759152269685,0.6884365495500286,0.4952896616481244,0.24652585573494434,,,,"[[24, 8], [8, 24]]",stop2_prototype_spider_balanced_prototype_timm_dinov3_vit_lora_menon_logit_adjusted_04-28_05-27,results/timm_dinov3_vit_lora_test/stop2_prototype_spider_balanced_prototype_timm_dinov3_vit_lora_menon_logit_adjusted_04-28_05-27/metrics_20260428_052740_menon_logit_adjusted.json,results/stop2_prototype/configs/stop2_prototype_spider_balanced_prototype_timm_dinov3_vit_lora_menon_logit_adjusted.json
spider_balanced_prototype,timm_dinov3_vit_lora,timm/vit_small_patch16_dinov3.lvd1689m,menon_logit_adjusted,calibrated_cost_min,black_widow / false_widow,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",C[black_widow][false_widow]=10; C[false_widow][black_widow]=1,0.95,0.8,accuracy,0.05,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.3333333333333333,0.14,0.8095703125,0.8306759152269685,0.6838013463272362,0.4906564840328812,0.24305270800724488,0.5,0.6876049741058354,0.6821795838409161,"[[32, 0], [32, 0]]",stop2_prototype_spider_balanced_prototype_timm_dinov3_vit_lora_menon_logit_adjusted_04-28_05-27,results/timm_dinov3_vit_lora_test/stop2_prototype_spider_balanced_prototype_timm_dinov3_vit_lora_menon_logit_adjusted_04-28_05-27/metrics_20260428_052740_menon_logit_adjusted.json,results/stop2_prototype/configs/stop2_prototype_spider_balanced_prototype_timm_dinov3_vit_lora_menon_logit_adjusted.json
spider_balanced_prototype,timm_dinov3_vit_lora,timm/vit_small_patch16_dinov3.lvd1689m,nicme_hybrid,argmax,black_widow / false_widow,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",C[black_widow][false_widow]=10; C[false_widow][black_widow]=1,0.95,0.8,accuracy,0.05,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.3333333333333333,0.14,0.662109375,0.6112704055588029,0.6925037892143426,0.4993567669384695,0.007118904031813145,,,,"[[32, 0], [32, 0]]",stop2_prototype_spider_balanced_prototype_timm_dinov3_vit_lora_nicme_hybrid_04-28_05-27,results/timm_dinov3_vit_lora_test/stop2_prototype_spider_balanced_prototype_timm_dinov3_vit_lora_nicme_hybrid_04-28_05-27/metrics_20260428_052759_nicme_hybrid.json,results/stop2_prototype/configs/stop2_prototype_spider_balanced_prototype_timm_dinov3_vit_lora_nicme_hybrid.json
spider_balanced_prototype,timm_dinov3_vit_lora,timm/vit_small_patch16_dinov3.lvd1689m,nicme_hybrid,calibrated_cost_min,black_widow / false_widow,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",C[black_widow][false_widow]=10; C[false_widow][black_widow]=1,0.95,0.8,accuracy,0.05,0.5,1.0,0.0,0.5,1.0,0.5,0.5,0.3333333333333333,0.14,0.662109375,0.610801655558803,0.692071197897494,0.4989252021059759,0.014234574147365286,0.5,0.691892705385882,0.690874637211333,"[[32, 0], [32, 0]]",stop2_prototype_spider_balanced_prototype_timm_dinov3_vit_lora_nicme_hybrid_04-28_05-27,results/timm_dinov3_vit_lora_test/stop2_prototype_spider_balanced_prototype_timm_dinov3_vit_lora_nicme_hybrid_04-28_05-27/metrics_20260428_052759_nicme_hybrid.json,results/stop2_prototype/configs/stop2_prototype_spider_balanced_prototype_timm_dinov3_vit_lora_nicme_hybrid.json
spider_balanced_prototype,timm_dinov3_convnext_lora,timm/convnext_tiny.dinov3_lvd1689m,ce,argmax,black_widow / false_widow,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",C[black_widow][false_widow]=10; C[false_widow][black_widow]=1,0.95,0.8,accuracy,0.2265625,2.265625,0.5625,0.4375,0.782608695652174,0.15625,0.703125,0.703125,0.6971357409713574,0.8365722656249999,0.7685546875,0.7734233739051937,0.5819028373965014,0.39816004690029094,0.1595866084098816,,,,"[[18, 14], [5, 27]]",stop2_prototype_spider_balanced_prototype_timm_dinov3_convnext_lora_ce_04-28_05-28,results/timm_dinov3_convnext_lora_test/stop2_prototype_spider_balanced_prototype_timm_dinov3_convnext_lora_ce_04-28_05-28/metrics_20260428_052825_ce.json,results/stop2_prototype/configs/stop2_prototype_spider_balanced_prototype_timm_dinov3_convnext_lora_ce.json
spider_balanced_prototype,timm_dinov3_convnext_lora,timm/convnext_tiny.dinov3_lvd1689m,ce,calibrated_cost_min,black_widow / false_widow,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",C[black_widow][false_widow]=10; C[false_widow][black_widow]=1,0.95,0.8,accuracy,0.05625,0.5625,0.96875,0.03125,0.543859649122807,0.8125,0.578125,0.578125,0.5021607605877269,0.10547851562500002,0.7685546875,0.7734233739051937,0.609900945427219,0.4114793379818295,0.1671880578469965,0.7,0.5333723693550119,0.5215819081211215,"[[31, 1], [26, 6]]",stop2_prototype_spider_balanced_prototype_timm_dinov3_convnext_lora_ce_04-28_05-28,results/timm_dinov3_convnext_lora_test/stop2_prototype_spider_balanced_prototype_timm_dinov3_convnext_lora_ce_04-28_05-28/metrics_20260428_052825_ce.json,results/stop2_prototype/configs/stop2_prototype_spider_balanced_prototype_timm_dinov3_convnext_lora_ce.json
spider_balanced_prototype,timm_dinov3_convnext_lora,timm/convnext_tiny.dinov3_lvd1689m,ce_calibrated_cost_min,argmax,black_widow / false_widow,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",C[black_widow][false_widow]=10; C[false_widow][black_widow]=1,0.95,0.8,accuracy,0.2265625,2.265625,0.5625,0.4375,0.782608695652174,0.15625,0.703125,0.703125,0.6971357409713574,0.8365722656249999,0.7685546875,0.7734233739051937,0.5819028373965014,0.39816004690029094,0.1595866084098816,,,,"[[18, 14], [5, 27]]",stop2_prototype_spider_balanced_prototype_timm_dinov3_convnext_lora_ce_calibrated_cost_min_04-28_05-28,results/timm_dinov3_convnext_lora_test/stop2_prototype_spider_balanced_prototype_timm_dinov3_convnext_lora_ce_calibrated_cost_min_04-28_05-28/metrics_20260428_052850_ce_calibrated_cost_min.json,results/stop2_prototype/configs/stop2_prototype_spider_balanced_prototype_timm_dinov3_convnext_lora_ce_calibrated_cost_min.json
spider_balanced_prototype,timm_dinov3_convnext_lora,timm/convnext_tiny.dinov3_lvd1689m,ce_calibrated_cost_min,calibrated_cost_min,black_widow / false_widow,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",C[black_widow][false_widow]=10; C[false_widow][black_widow]=1,0.95,0.8,accuracy,0.05625,0.5625,0.96875,0.03125,0.543859649122807,0.8125,0.578125,0.578125,0.5021607605877269,0.10547851562500002,0.7685546875,0.7734233739051937,0.609900945427219,0.4114793379818295,0.1671880578469965,0.7,0.5333723693550119,0.5215819081211215,"[[31, 1], [26, 6]]",stop2_prototype_spider_balanced_prototype_timm_dinov3_convnext_lora_ce_calibrated_cost_min_04-28_05-28,results/timm_dinov3_convnext_lora_test/stop2_prototype_spider_balanced_prototype_timm_dinov3_convnext_lora_ce_calibrated_cost_min_04-28_05-28/metrics_20260428_052850_ce_calibrated_cost_min.json,results/stop2_prototype/configs/stop2_prototype_spider_balanced_prototype_timm_dinov3_convnext_lora_ce_calibrated_cost_min.json
spider_balanced_prototype,timm_dinov3_convnext_lora,timm/convnext_tiny.dinov3_lvd1689m,menon_logit_adjusted,argmax,black_widow / false_widow,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",C[black_widow][false_widow]=10; C[false_widow][black_widow]=1,0.95,0.8,accuracy,0.2265625,2.265625,0.5625,0.4375,0.782608695652174,0.15625,0.703125,0.703125,0.6971357409713574,0.8365722656249999,0.7685546875,0.7734233739051937,0.5819004386928162,0.39815836170206254,0.15958345029503113,,,,"[[18, 14], [5, 27]]",stop2_prototype_spider_balanced_prototype_timm_dinov3_convnext_lora_menon_logit_adjusted_04-28_05-29,results/timm_dinov3_convnext_lora_test/stop2_prototype_spider_balanced_prototype_timm_dinov3_convnext_lora_menon_logit_adjusted_04-28_05-29/metrics_20260428_052915_menon_logit_adjusted.json,results/stop2_prototype/configs/stop2_prototype_spider_balanced_prototype_timm_dinov3_convnext_lora_menon_logit_adjusted.json
spider_balanced_prototype,timm_dinov3_convnext_lora,timm/convnext_tiny.dinov3_lvd1689m,menon_logit_adjusted,calibrated_cost_min,black_widow / false_widow,black_widow,"[[0.0, 10.0], [1.0, 0.0]]",C[black_widow][false_widow]=10; C[false_widow][black_widow]=1,0.95,0.8,accuracy,0.05625,0.5625,0.96875,0.03125,0.543859649122807,0.8125,0.578125,0.578125,0.5021607605877269,0.10547851562500002,0.7685546875,0.7734233739051937,0.6098975087892473,0.41147807882687204,0.16718909062053858,0.7,0.5333673655342241,0.5215741402190883,"[[31, 1], [26, 6]]",stop2_prototype_spider_balanced_prototype_timm_dinov3_convnext_lora_menon_logit_adjusted_04-28_05-29,results/timm_dinov3_convnext_lora_test/stop2_prototype_spider_balanced_prototype_timm_dinov3_convnext_lora_menon_logit_adjusted_04-28_05-29/metrics_20260428_052915_menon_logit_adjusted.json,results/stop2_prototype/configs/stop2_prototype_spider_balanced_prototype_timm_dinov3_convnext_lora_menon_logit_adjusted.json
