seed,method,display_name,hpo_run,metric,run95,candidate,delta_positive_favors_candidate,direction
44,nicme_run69_a0p2_l0p09,"NICME run 69 (alpha=0.2, lambda=0.09)",69,macro_f1,0.9719567887309821,0.9627395910566967,-0.009217197674285416,higher
44,nicme_run69_a0p2_l0p09,"NICME run 69 (alpha=0.2, lambda=0.09)",69,critical_pair_error_count,1.0,1.0,0.0,lower
44,nicme_run20_a0p06_l0p03,"NICME run 20 (alpha=0.06, lambda=0.03)",20,target_recall_min,0.90625,0.9375,0.03125,higher
44,nicme_run20_a0p06_l0p03,"NICME run 20 (alpha=0.06, lambda=0.03)",20,target_recall_macro,0.96875,0.9765625,0.0078125,higher
44,nicme_run20_a0p06_l0p03,"NICME run 20 (alpha=0.06, lambda=0.03)",20,normalized_atc,0.005625,0.008125,-0.0025000000000000005,lower
44,nicme_run20_a0p06_l0p03,"NICME run 20 (alpha=0.06, lambda=0.03)",20,atc,0.05625,0.08125,-0.025,lower
44,nicme_run20_a0p06_l0p03,"NICME run 20 (alpha=0.06, lambda=0.03)",20,balanced_accuracy,0.971875,0.946875,-0.025000000000000022,higher
44,nicme_run20_a0p06_l0p03,"NICME run 20 (alpha=0.06, lambda=0.03)",20,macro_f1,0.9719567887309821,0.9469547249072056,-0.025002063823776566,higher
44,nicme_run20_a0p06_l0p03,"NICME run 20 (alpha=0.06, lambda=0.03)",20,critical_pair_error_count,1.0,1.0,0.0,lower
44,nicme_run50_a0p09_l0p07,"NICME run 50 (alpha=0.09, lambda=0.07)",50,target_recall_min,0.90625,0.9375,0.03125,higher
44,nicme_run50_a0p09_l0p07,"NICME run 50 (alpha=0.09, lambda=0.07)",50,target_recall_macro,0.96875,0.9765625,0.0078125,higher
44,nicme_run50_a0p09_l0p07,"NICME run 50 (alpha=0.09, lambda=0.07)",50,normalized_atc,0.005625,0.005,0.0006249999999999997,lower
44,nicme_run50_a0p09_l0p07,"NICME run 50 (alpha=0.09, lambda=0.07)",50,atc,0.05625,0.05,0.006249999999999999,lower
44,nicme_run50_a0p09_l0p07,"NICME run 50 (alpha=0.09, lambda=0.07)",50,balanced_accuracy,0.971875,0.978125,0.006249999999999978,higher
44,nicme_run50_a0p09_l0p07,"NICME run 50 (alpha=0.09, lambda=0.07)",50,macro_f1,0.9719567887309821,0.9783492053939213,0.006392416662939215,higher
44,nicme_run50_a0p09_l0p07,"NICME run 50 (alpha=0.09, lambda=0.07)",50,critical_pair_error_count,1.0,1.0,0.0,lower
44,nicme_run53_a0p09_l0p2,"NICME run 53 (alpha=0.09, lambda=0.2)",53,target_recall_min,0.90625,0.9375,0.03125,higher
44,nicme_run53_a0p09_l0p2,"NICME run 53 (alpha=0.09, lambda=0.2)",53,target_recall_macro,0.96875,0.9765625,0.0078125,higher
44,nicme_run53_a0p09_l0p2,"NICME run 53 (alpha=0.09, lambda=0.2)",53,normalized_atc,0.005625,0.00625,-0.0006250000000000006,lower
44,nicme_run53_a0p09_l0p2,"NICME run 53 (alpha=0.09, lambda=0.2)",53,atc,0.05625,0.0625,-0.006249999999999999,lower
44,nicme_run53_a0p09_l0p2,"NICME run 53 (alpha=0.09, lambda=0.2)",53,balanced_accuracy,0.971875,0.965625,-0.006250000000000089,higher
44,nicme_run53_a0p09_l0p2,"NICME run 53 (alpha=0.09, lambda=0.2)",53,macro_f1,0.9719567887309821,0.9662262692504628,-0.0057305194805192805,higher
44,nicme_run53_a0p09_l0p2,"NICME run 53 (alpha=0.09, lambda=0.2)",53,critical_pair_error_count,1.0,1.0,0.0,lower
