path,bytes,gib,reason
checkpoints/camera_ready_run_class_balanced_focal_lr5e5_s43/checkpoint-128/scheduler.pt,1465,0.000001,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_class_balanced_focal_lr5e5_s44/checkpoint-144/optimizer.pt,700906667,0.652770,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_class_balanced_focal_lr5e5_s44/checkpoint-144/rng_state.pth,14645,0.000014,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_class_balanced_focal_lr5e5_s44/checkpoint-144/scheduler.pt,1465,0.000001,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_cost_weighted_ce_lr5e5_s42/checkpoint-48/optimizer.pt,700906667,0.652770,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_cost_weighted_ce_lr5e5_s42/checkpoint-48/rng_state.pth,14645,0.000014,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_cost_weighted_ce_lr5e5_s42/checkpoint-48/scheduler.pt,1465,0.000001,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_cost_weighted_ce_lr5e5_s43/checkpoint-160/optimizer.pt,700906667,0.652770,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_cost_weighted_ce_lr5e5_s43/checkpoint-160/rng_state.pth,14581,0.000014,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_cost_weighted_ce_lr5e5_s43/checkpoint-160/scheduler.pt,1465,0.000001,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_cost_weighted_ce_lr5e5_s44/checkpoint-80/optimizer.pt,700906667,0.652770,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_cost_weighted_ce_lr5e5_s44/checkpoint-80/rng_state.pth,14709,0.000014,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_cost_weighted_ce_lr5e5_s44/checkpoint-80/scheduler.pt,1465,0.000001,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_csada_lr5e5_s42/checkpoint-16/optimizer.pt,700906667,0.652770,removed optimizer/scheduler/RNG training state; model checkpoint files retained
checkpoints/camera_ready_run_csada_lr5e5_s42/checkpoint-16/rng_state.pth,14645,0.000014,removed optimizer/scheduler/RNG training state; model checkpoint files retained
