dataset,model,method,mode,n,selection_mean,selection_sd,nATC_mean,nATC_sd,recall_mean,recall_sd,acc_mean,acc_sd,bacc_mean,macro_f1_mean,ece_mean
spider_balanced,vit,ce,calibrated_threshold,3,0.02726296296296296,0.000853484747369146,0.02644444444444444,0.0001924500897298761,0.9844444444444443,0.015396007178389992,0.8055555555555557,0.07026405223894391,0.8055555555555555,0.7966934269806716,0.055598724967360486
spider_balanced,vit,cs_regularized_ce,argmax,3,0.03837777777777778,0.004376875259478736,0.038111111111111116,0.004350393766767089,0.9444444444444443,0.00769800358919506,0.8688888888888889,0.053159438728469725,0.8688888888888888,0.8675822763703186,0.07169352008236779
spider_balanced,vit,cs_regularized_ce,calibrated_cost_min,3,0.039007407407407414,0.02025664144506056,0.027555555555555555,0.009576205078406775,0.9955555555555556,0.007698003589194996,0.7444444444444445,0.13001424423386732,0.7444444444444445,0.7169774363799669,0.054117234647440525
spider_balanced,vit,cs_regularized_ce,calibrated_threshold,3,0.022974074074074074,0.008497932452489736,0.02211111111111111,0.007904522849703294,0.9955555555555556,0.007698003589194996,0.7988888888888889,0.05928587365312934,0.7988888888888889,0.7893769414081692,0.054117234647440525
spider_balanced,vit,menon_logit_adjusted,argmax,3,0.0415037037037037,0.004934200791269002,0.041,0.004371625682868002,0.9422222222222222,0.010183501544346328,0.85,0.014529663145135596,0.85,0.8486392906246706,0.09018245458602907
spider_balanced,vit,menon_logit_adjusted,calibrated_cost_min,3,0.0437851851851852,0.007429008319355521,0.031111111111111107,0.0022194427061597963,1.0,0.0,0.6888888888888888,0.02219442706159798,0.6888888888888888,0.6551097677302308,0.051326373544630606
spider_balanced,vit,menon_logit_adjusted,calibrated_threshold,3,0.027740740740740743,0.0016225392891563394,0.02666666666666667,0.0006666666666666644,0.991111111111111,0.003849001794597466,0.7733333333333334,0.02333333333333335,0.7733333333333333,0.7617075020176304,0.051326373544630606
spider_balanced,vit,nicme_hybrid,argmax,3,0.03233333333333333,0.002333333333333331,0.03233333333333333,0.002333333333333331,0.9622222222222222,0.00384900179459753,0.8466666666666667,0.01855921454276677,0.8466666666666667,0.8444953467543653,0.18718541688389245
spider_balanced,vit,nicme_hybrid,calibrated_cost_min,3,0.10770000000000002,0.055945241084474726,0.043666666666666666,0.010969655114602891,1.0,0.0,0.5633333333333334,0.10969655114602886,0.5633333333333334,0.44123612494007447,0.11902612310942047
spider_balanced,vit,nicme_hybrid,calibrated_threshold,3,0.026059259259259258,0.006453493008941816,0.026,0.006350852961085883,0.9866666666666667,0.011547005383792462,0.7999999999999999,0.011547005383792525,0.7999999999999999,0.7927795174065206,0.11902612310942047
spider_balanced,vit,nicme_logit_adjustment,argmax,3,0.029888888888888892,0.006994706993572064,0.029888888888888892,0.006994706993572064,0.9622222222222222,0.010183501544346328,0.8711111111111111,0.025018511664883787,0.8711111111111111,0.8699645479226633,0.11455419666237303
spider_balanced,vit,nicme_logit_adjustment,calibrated_cost_min,3,0.0663888888888889,0.06190420317208172,0.03411111111111111,0.013619158618706276,1.0,0.0,0.6588888888888889,0.1361915861870628,0.6588888888888889,0.591328677322959,0.06021312863146028
spider_balanced,vit,nicme_logit_adjustment,calibrated_threshold,3,0.02302222222222222,0.004697674759724024,0.02288888888888889,0.0047297325897317265,0.9933333333333333,0.011547005383792525,0.8011111111111111,0.01835856849095368,0.8011111111111111,0.7932500760907777,0.06021312863146028
